year,month,day,address,category,description
2022,7,30,Chestnut Residence - 89 Chestnut Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,30,Myhal - 55 St. George Street,THEFT,A report of a theft of bike.
2022,7,30,Galbraith - 35 St. George Street,TRESPASS TO PROPERTY ACT,A report of skateboarders. Left when directed.
2022,7,30,St. Hilda's College - 44 Devonshire Place,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,30,Gradhouse - 60 Harbord Street,MEDICAL,A report of a medical. Transported to hospital.
2022,7,29,Warren Stevens - 55 Harbord Street,THEFT,A report of a theft of bike.
2022,7,29,Innis Residence - 111 St. George Street,FALSE ALARM OF FIRE,A report of a false alarm of fire via pull station.
2022,7,29,McLennan Physics - 255 Huron Street,MISCHIEF,A report of a broken window.
2022,7,29,Sandford Fleming - 10 King's College Circle,MISCHIEF,A report of a broken window.
2022,7,29,Rotman Stewart - 149 College Street,UNWANTED PERSON,A report of an unwanted person. Left when directed.
2022,7,29,Social Work - 246 Bloor Street West,UNWANTED PERSON,A report of an unwanted person. Left when directed.
2022,7,28,Gradhouse - 60 Harbord Street,THEFT,A report of a theft of bike cable.
2022,7,28,Myhal - 55 St. George Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,28,Pharmacy - 144 College Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,7,28,Wallberg - 184 College Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,28,Engineering Annex - 11 King's College Road,MISCHIEF,A report of a broken car window.
2022,7,28,Robart's Commons - 369 Huron Street,ASSAULT,A report of an assault. 
2022,7,28,Sidney Smith - 100 St. George Street,THEFT,A report of a theft of scooter.
2022,7,28,Pratt Library - 71 Queen's Park Crescent,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,27,Warren Stevens - 55 Harbord Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,27,Innis College - 2 Sussex Avenue,UNWANTED PERSON,A report of an unwanted person. Gone prior to officer arrival.
2022,7,27,Sidney Smith - 100 St. George Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,27,Galbraith - 35 St. George Street,TRESPASS TO PROPERTY ACT,A report of skateboarders. Left when directed.
2022,7,27,OISE - 252 Bloor Street,UNWANTED PERSON,A report of an unwanted person. Left when directed.
2022,7,27,New College III - 45 Willcocks Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,7,26,Hart House - 7 Hart House Circle,SUSPICIOUS PERSON,A report of a suspicious person. Left when directed.
2022,7,26,Earth Sciences - 33 Willcocks Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,26,Wallberg - 184 College Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,26,Rotman Stewart - 149 College Street,MISCHIEF,A report of damage to university property. 
2022,7,26,Wetmore Hall - 21 Classic Avenue,FIRE,A report of a fire. Fire extinguished by Toronto Fire.
2022,7,26,Gradhouse - 60 Harbord Street,UNWANTED PERSON,A report of an unwanted person. Left when directed.
2022,7,26,Margaret Addison Hall - 140 Charles Street,THEFT,A report of a theft of bicycle.
2022,7,26,OISE - 252 Bloor Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,26,Dentistry - 124 Edward Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,7,26,University College - 15 King's College Circle,UNWANTED PERSON,A report of an unwanted person. Left when directed.
2022,7,26,Emmanuel College - 75 Queen's Park Crescent,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,26,Graduate House - 60 Harbord Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,25,Galbraith - 35 St. George Street,TRESPASS TO PROPERTY ACT,A report of skateboarders. Left when directed.
2022,7,25,McLennan Physics - 255 Huron Street,THEFT,A report of a theft.
2022,7,25,OISE - 252 Bloor Street,TRESPASS TO PROPERTY ACT,A report of skateboarders. Left when directed.
2022,7,25,91 Charles Street West,THEFT,A report of a theft.
2022,7,25,Central Steam Plant - 17 Ursula Franklin,MISCHIEF (GRAFFITI),A report of graffiti.
2022,7,25,North Borden - 563 Spadina Crescent,THEFT,A report of a theft of scooter.
2022,7,25,Exam Centre - 255 McCaul Street,SUSPICIOUS PERSON,A report of a suspicious person. Left when directed.
2022,7,25,St. Hilda's - 44 Devonshire Place,THEFT,A report of a theft of bicycle.
2022,7,24,Bahen Centre - 40 St. George Street,THEFT,A report of a theft of bicycle.
2022,7,24,Warren Stevens - 55 Harbord Street,THEFT,A report of a theft of bicycle.
2022,7,23,Margaret Addison Hall - 140 Charles Street,MEDICAL,A report of a medical. One party transported to hospital.
2022,7,23,Daniel's Architecture - 1 Spadina Crescent,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individuals able to care for themselves.
2022,7,23,Exam Centre - 255 McCaul Street,BREAK AND ENTER,A report of a break and enter.
2022,7,22,Gerstein Library - 9 King's College Circle,MISCHIEF (GRAFFITI),A report of graffiti.
2022,7,22,Myhal - 55 St. George Street,MISCHIEF,A report of damage to university property.
2022,7,22,Hart House - 7 Hart House Circle,TRESPASS TO PROPERTY ACT,A report of a individual trespassing. Verbally cautioned.
2022,7,22,730 Yonge Street,UNWANTED PERSON,A report of an unwanted person. Left when directed.
2022,7,21,Warren Stevens - 55 Harbord Street,THEFT,A report of a theft of bicycle.
2022,7,21,CCBR - 160 College Street,TRESPASS TO PROPERTY ACT,A report of skateboarders. Gone prior to officer arrival.
2022,7,21,35 Charles Street West,UNWANTED PERSON,A report of an unwanted person. Gone prior to officer arrival.
2022,7,21,Physical Geography - 45 St. George Street,TRESPASS TO PROPERTY ACT,A report of skateboarders. Left when directed.
2022,7,21,Myhal - 55 St. George Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,21,Lash Miller - 80 St. George Street,THEFT,A report of a theft.
2022,7,21,OISE Underground- 71 Prince Arthur Street,TRESPASS TO PROPERTY ACT,A report of two people trespassing. Both parties verbally cautioned.
2022,7,21,Ramsay Wright - 25 Harbord Street,UNWANTED PERSON,A report of an unwanted person. Gone prior to officer arrival.
2022,7,21,Bahen Centre - 40 St. George Street,UNWANTED PERSON,A report of an unwanted person. Left when directed.
2022,7,21,University College - 15 King's College Circle,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,21,Bahen Centre - 40 St. George Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,7,20,Wetmore Hall - 21 Classic Avenue,UNWANTED PERSON,A report of an unwanted person. Left when directed.
2022,7,20,Gradhouse Underground - 17 Glen Morris Street,THEFT,A report of a theft.
2022,7,20,University College - 15 King's College Circle,THEFT,A report of a theft.
2022,7,20,North Borden - 563 Spadina Crescent,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,20,Ramsay Wright - 25 Harbord Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,20,Bahen Centre - 40 St. George Street,UNWANTED PERSON,A report of an unwanted person. Left when directed.
2022,7,20,Brennan Hall -81 St. Mary Street,TRESPASS TO PROPERTY ACT,A report of an individual trespassing. Gone prior to officer arrival.
2022,7,20,89 Chestnut Street,MISCHIEF,A report of damage to a parking gate.
2022,7,20,Canadiana Gallery - 14 Queen's Park,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,19,Dentistry - 124 Edward Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,7,19,Canadiana Gallery - 14 Queen's Park Crescent,UNWANTED PERSON,A report of an unwanted person. Left prior to officer arrival.
2022,7,19,BCIT - 40 St. George Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,19,Emmanuel College - 75 Queen's Park Crescent,MISCHIEF,A report of damage to university property.
2022,7,19,91 Charles Street West,ASSAULT,A report of an assault. Arrested and charged by officers.
2022,7,18,Brennan Hall - 81 St. Mary's Street,TRESPASS TO PROPERTY ACT,A report of a male trespassing. Gone prior to officer arrival.
2022,7,18,University College - 15 King's College Circle,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,18,Myhal - 55 St. George Street,MISCHIEF,A report of graffiti.
2022,7,18,Wilson Hall - 40 Willcocks Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,7,18,Earth Sciences - 33 Willcocks Street,DRUG PARAPHERNALIA,A report of needles. Disposed of by officers.
2022,7,18,35 Charles Street West,THEFT,A report of a theft of package.
2022,7,18,35 Charles Street West,UNWANTED PERSON,A report of an unwanted person. Left upon officer arrival.
2022,7,17,Robarts Building - 130 St. George Street,THEFT,A report of a theft of bicycle parts.
2022,7,17,Social Work - 246 Bloor Street,MISCHIEF (GRAFFITI),A report of graffiti.
2022,7,17,Galbraith - 35 St. George Street,SUSPICIOUS PERSON,A report of a suspicious person. Left when directed.
2022,7,17,Robarts Building - 130 St. George Street,THREATS,A report of threats uttered at officers. Arrested by officers.
2022,7,17,OISE - 252 Bloor Street,MISCHIEF (GRAFFITI),A report of graffiti.
2022,7,17,OISE Underground - 71 Prince Arthur Avenue,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,16,Knox College - 23 King's College Circle,THEFT,A report of theft from automobile.
2022,7,16,OISE Underground - 71 Prince Arthur Avenue,SUSPICIOUS PERSON,A report of a suspicious person. Left when directed.
2022,7,16,Edward Johnson - 80 Queen's Park Crescent,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,16,Hart House - 7 Hart House Circle,MISCHIEF (GRAFFITI),A report of graffiti.
2022,7,16,35 Charles Street West,THEFT,A report of a theft of bicycle.
2022,7,16,OISE Underground - 71 Prince Arthur Avenue,MISCHIEF,"A report of damage to university property,"
2022,7,16,SAC Building - 12 Hart House Circle,ASSAULT,A report of an assault. Arrested and charged by officers.
2022,7,15,Bahen Centre - 40 St. George Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,7,15,89 Chestnut Street,MISCHIEF,A report of damage to a parking gate.
2022,7,15,St. George Parking - 107 St. George Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,7,15,CCBR - 140 College Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,14,35 Charles Street West,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,7,14,Warren Stevens - 55 Harbord Street,THEFT,A report of a theft of bicycle parts.
2022,7,14,Sam Sorbara Hall - 70 St. Joseph Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,14,Koffler Bookstore - 214 College Street,MEDICAL,A report of a medical. No further action required.
2022,7,14,246 Bloor Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,7,14,Canadiana Gallery - 14 Queen's Park,MEDICAL,A report of a medical. Transported to hospital by EMS.
2022,7,14,New College 3 - 45 Willcocks Street,THEFT,A report of a theft of bicycle.
2022,7,14,Bahen Centre - 40 St. George Street,SUSPICIOUS PERSON,A report of a suspicious person. Left upon officer arrival.
2022,7,14,Hart House - 7 Hart House Circle,THEFT,A report of a theft of bicycle helmet.
2022,7,13,Engineering Annex - 11 King's College Road,MISCHIEF,A report of mischief. Investigation ongoing.
2022,7,13,University College - 15 King's College Circle,UNWANTED PERSON,A report of an unwanted person. Left upon officer arrival.
2022,7,13,Hart House - 7 Hart House Circle,MEDICAL,A report of a medical. Transported to hospital by EMS.
2022,7,13,OISE - 252 Bloor Street,UNWANTED PERSON,A report of an unwanted person. Left upon officer arrival.
2022,7,13,Medical Science Building - 1 King's College Circle,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,12,Hart House - 7 Hart House Circle,MOTOR VEHICLE RECOVERY,A stolen vehicle recovered by officers.
2022,7,12,Myhal - 55 St. George Street,UNWANTED PERSON,A report of an unwanted person. Left when directed.
2022,7,12,Edward Johnson - 80 Queen's Park,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,12,Hart House - 7 Hart House Circle,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,12,Galbraith - 35 St. George Street,TRESPASS TO PROPERTY ACT,A report of skateboarders. Left when directed.
2022,7,11,OISE - 252 Bloor Street,MISCHIEF,A report of damage to university property. Investigation ongoing.
2022,7,11,123 St. George Street,THEFT,A report of an attempt theft.
2022,7,11,Pharmacy - 144 College Street,THEFT,A report of a theft.
2022,7,11,Bahen Centre - 40 St. George Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,10,Robarts Commons - 369 Huron Street,UNWANTED PERSON,A report of an unwanted person. Left upon officer arrival.
2022,7,10,30 Charles Street,FIRE ALARM,A report of a fire alarm. False alarm.
2022,7,10,Back campus - 20 Tower Road,SUSPICIOUS PERSON,A report of suspicious people. All in order.
2022,7,9,35 Charles Street West,THEFT,A report of a theft of bicycle.
2022,7,9,Wetmore Hall - 21 Classic Avenue,THEFT,A report of a theft of bicycle.
2022,7,9,Robarts Library - 130 St. George Street,MEDICAL,A report of a medical. Transported to hospital by EMS.
2022,7,8,35 Charles Street West,THEFT,A report of a theft of bicycle wheel.
2022,7,8,One Spadina,TRESPASS TO PROPERTY ACT,A report of a person trespassing. Left when directed.
2022,7,8,Robert Street Rink - 60 Sussex Avenue,NOISE COMPLAINT,A report of a noise complaint. All in order.
2022,7,8,21 King's College Circle,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,8,Galbraith - 35 St. George Street,MEDICAL,A report of a medical. Transported to hospital by EMS.
2022,7,7,730 Yonge Street,UNWANTED PERSON,A report of an unwanted person. Left when directed.
2022,7,7,OFF CAMPUS,FRAUD,A report of an attempt fraud.
2022,7,7,St. Hilda's - 44 Devonshire Place,MEDICAL,A report of a medical. No further action required.
2022,7,7,New College 3 - 45 Willcocks Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,6,89 Chestnut Street,MISCHIEF,A report of damage to a parking gate. Investigation ongoing.
2022,7,6,Wallberg - 184 College Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,7,6,University College - 15 King's College Circle,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,6,Bahen Centre - 40 St. George Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,7,5,107 St. George Street,UNWANTED PERSON,A report of an unwanted person. Left when directed.
2022,7,5,Ramsay Wright - 25 Harbord Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,5,Sandford Fleming - 10 King's College Road,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,5,215 Huron Street,TRESPASS TO PROPERTY ACT,A report of a person trespassing. Left when directed.
2022,7,5,Jackman Humanities - 170 St. George Street,MEDICAL,A report of a medical. No further action required.
2022,7,5,Regis College - 100 Wellesley Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,7,5,Wetmore Hall - 21 Classic Avenue,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,7,5,OISE - 252 Bloor Street,UNWANTED PERSON,A report of an unwanted person. Left when directed.
2022,7,5,Robarts Commons - 369 Huron Street,FIRE ALARM,A report of a fire alarm. False alarm.
2022,7,5,107 St. George Street,TRESPASS TO PROPERTY ACT,A report of skateboarders. Left when directed.
2022,7,5,OISE - 252 Bloor Street,TRESPASS TO PROPERTY ACT,A report of a person trespassing after hours. Verbally cautioned.
2022,7,5,Wetmore Hall - 21 Classic Avenue,UNWANTED PERSON,A report of an unwanted person. Gone prior to officer arrival.
2022,7,4,Robarts Building - 130 St. George Street,MEDICAL,A report of a medical. Transported to hospital by EMS.
2022,7,4,Bahen Centre - 40 St. George Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,7,4,OISE - 252 Bloor Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,7,4,OISE - 252 Bloor Street,FIRE ALARM,A report of a fire alarm. False alarm.
2022,7,4,Medical Science Building - 1 King's College Circle,WARRANTS,A report of a suspicious person trespassing. Arrested by officers on an outstanding warrant.
2022,7,3,89 Chestnut Street,MISCHIEF,A report of damage to a parking gate. Investigation ongoing.
2022,7,3,Whitney Hall - 85 St. George Street,MEDICAL,A report of a medical. Transported to hospital by EMS.
2022,7,3,Robarts Commons - 369 Huron Street,MISCHIEF,A report of damage to university property. Investigation ongoing.
2022,7,3,30 Charles Street,NOISE COMPLAINT,A report of a noise complaint. Compliant and kept the noise down.
2022,7,3,N/A,HARASSMENT,A report of Harassment. Ongoing investigation.
2022,7,2,95 St. Joseph Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,7,2,Woodsworth College - 119 St. George Street,THEFT,A report of a theft of bicycle.
2022,7,2,Woodsworth Residence - 321 Bloor Street West,TRESPASS TO PROPERTY ACT,A report of a person trespassing after hours. Left when directed.
2022,7,1,89 Chestnut Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,7,1,Main Campus,ANIMAL COMPLAINT,A report of dogs off leash. Gone prior to officer arrival.
2022,7,1,Hart House - 7 Hart House Circle,TRESPASS TO PROPERTY ACT,A report of a male trespassing. Arrested and released on PON by officers.
2022,7,1,Warren Stevens - 55 Harbord Street,THEFT,A report of a theft of bicycle.
2022,6,30,85 Charles Street West,TRESPASS TO PROPERTY ACT,A report of a trespasser refusing to leave. Gone prior to officer arrival.
2022,6,30,Field's Institute - 222 College Street,TRESPASS TO PROPERTY ACT,A report of a person trespassing. Verbally cautioned by officers. 
2022,6,30,95 St Joseph Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,6,25,Galbraith - 35 St. George Street,TRESPASS TO PROPERTY ACT,A report of skateboarders. Left when directed.
2022,6,25,Sandford Fleming - 10 King's College Road,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,6,24,Galbraith - 35 St. George Street,TRESPASS TO PROPERTY ACT,A report of skateboarders. Gone prior to officer arrival.
2022,6,24,Bahen Underground - 213 Huron Street,SUSPICIOUS VEHICLE,A report of a suspicious vehicle. Gone prior to officer arrival.
2022,6,24,Warren Stevens - 55 Harbord Street,THEFT,A report of a theft of bicycle.
2022,6,24,Philosopher's Walk - 6 Hoskin Avenue,LIQUOR LICENCE AND CONTROL ACT,A report of an intoxicated male acting aggressively. Arrested and charged by officers
2022,6,24,Rotman - 105 St. George Street,UNWANTED PERSON,A report of an unwanted person. Gone prior to officer arrival.
2022,6,23,Koffler Bookstore - 214 College Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,6,22,Exam Centre - 255 McCaul Street,MEDICAL,A report of a medical. No further action required.
2022,6,22,Innis College - 2 Sussex Avenue,MEDICAL,A report of a medical. No further action required.
2022,6,22,Galbraith - 35 St. George Street,TRESPASS TO PROPERTY ACT,A report of skateboarders. Gone prior to officer arrival.
2022,6,22,Robarts Library - 130 St. George Street,THEFT,A report of a theft of bicycle.
2022,6,21,215 Huron Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,6,21,Jackman Humanities - 170 St. George Street,UNWANTED PERSON,A report of an unwanted person. Gone prior to officer arrival.
2022,6,21,Myhal - 55 St. George Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,6,21,Health Sciences - 155 College Street,TRESPASS TO PROPERTY ACT,A report of an individual trespassing. Left when directed.
2022,6,21,45 Walmer Road,MISCHIEF,Damage to the FOB card reader.
2022,6,21,Warren Stevens - 55 Harbord Street,THEFT,A report of a theft of bicycle.
2022,6,21,Galbraith - 35 St. George Street,MISCHIEF,Damage to University property.
2022,6,21,OISE - 252 Bloor Street West,SUSPICIOUS PERSON,A report of a suspicious person attempting to enter the building. Gone prior to officer arrival.
2022,6,20,Innis College - 2 Sussex Avenue,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,6,20,Trinity College - 6 Hoskin Ave,MEDICAL,A report of a medical. One party transported by EMS.
2022,6,20,OISE - 252 Bloor Street West,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,6,20,Rotman - 105 St. George Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,6,20,Flavelle House - 78 St. George Street,UNWANTED PERSON,A report of an unwanted person. Gone prior to officer arrival.
2022,6,19,35 Charles Street West,UNWANTED PERSON,A report of an unwanted person. Left when directed.
2022,6,19,Warren Stevens - 55 Harbord Street,THEFT,A report of a theft.
2022,6,19,35 Charles Street West,NOISE COMPLAINT,A report of a noise complaint. All in order.
2022,6,19,Canadiana Gallery - 14 Queen's Park Crescent,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,6,19,Warren Stevens - 55 Harbord Street,THEFT,A report of a theft of scooter.
2022,6,19,OISE - 252 Bloor Street West,UNWANTED PERSON,A report of an unwanted person. Left prior to officers arrival
2022,6,19,Sidney Smith - 100 St. George Street,DRUG PARAPHERNALIA,A report of a needles. Disposed of by officers.
2022,6,19,BCIT - 40 St. George Street,SUSPICIOUS PERSON,A report of a suspicious person. Left upon officer arrival.
2022,6,18,Whitney Hall - 85 St. George Street,UNWANTED PERSON,A report of an unwanted person. Gone prior to officer arrival.
2022,6,18,Warren Stevens - 55 Harbord Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,6,17,Bahen Centre - 40 St. George Street,TRESPASS TO PROPERTY ACT,A report of a known trespasser. Reported after they left the area.
2022,6,17,Munk School - 1 Devonshire Place,FIRE ALARM,A report of a fire. False alarm.
2022,6,17,Convocation Hall - 31 King's College Circle,DANGEROUS CONDITIONS,A report of fallen metal wires due to high winds. Area cautioned taped off and serviced. 
2022,6,17,Myhal - 55 St. George Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,6,16,OISE - 252 Bloor Street West,TRESPASS TO PROPERTY ACT,A report of skateboarders. Left when directed.
2022,6,16,Mining Building - 170 St. George Street,UNWANTED PERSON,A report of an unwanted person. Left when directed.
2022,6,16,Earth Sciences - 33 Willcocks Street,THEFT UNDER $5000.00,A report of a theft of bicycle.
2022,6,16,50 St. Joseph Street,MEDICAL,A report of a medical. Transported to hospital.
2022,6,15,263 McCaul Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,6,15,Faculty Club - 41 Willcocks Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,6,14,Goldring Centre - 150 Charles Street West,MEDICAL,A report of a medical. Transported to hospital.
2022,6,14,Social Work - 246 Bloor Street West,MISCHIEF,A report of damage to property.
2022,6,14,Social Work - 246 Bloor Street West,MISCHIEF (GRAFFITI),A report of graffiti.
2022,6,14,OISE Underground - 71 Prince Arthur Avenue,UNWANTED PERSON,A report of an unwanted persons trespassing. Left when directed.
2022,6,13,Robarts - 130 St. George Street,MISCHIEF (GRAFFITI),A report of graffiti.
2022,6,13,St. George Parking - 107 St. George Street,MOTOR VEHICLE COLLISION,A report of a minor collision. Referred to the collision reporting center.
2022,6,13,Convocation Hall - 31 King's College Circle,MEDICAL,A report of a medical. Transported to hospital.
2022,6,13,Robarts - 130 St. George Street,THEFT UNDER $5000.00,A report of a theft of scooter.
2022,6,12,New College 3 - 45 Willcocks Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,6,11,Medical Sciences - 1 King's College Circle,WARRANTS,A report of a suspicious person. Arrested on an outstanding warrant.
2022,6,10,Margaret Addision Hall - 140 Charles Street West ,THEFT UNDER $5000.00,A report of a theft.
2022,6,10,Faculty Club - 41 Willcocks Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,6,10,Pharmacy,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,6,10,OISE - 252 Bloor Street West,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,6,10,Galbraith - 35 St. George Street,TRESPASS TO PROPERTY ACT,A report of skateboarders. Left when directed.
2022,6,10,Health Sciences - 155 College,ASSAULT,A report of an assault. Ongoing investigation.
2022,6,9,BCIT - 40 St. George Street,SUSPICIOUS PERSON,A report of a known trespasser. Gone prior to officer arrival.
2022,6,9,229 College Street,UNWANTED PERSON,A report of people on the roof of the building. Left when directed.
2022,6,9,91 Charles Street West,SUSPICIOUS PERSON,A report of a non-community member. Left when directed.
2022,6,9,93 Charles Street West,SUSPICIOUS PERSON,A report of a suspicious persons. Gone prior to officer arrival.
2022,6,9,OISE - 252 Bloor Street West,UNWANTED PERSON,A report of a non-community member. Left when directed.
2022,6,9,Daniel's Architecture - 1 Spadina Crescent,HARASSMENT,A report of harassment.
2022,6,9,BCIT - 40 St. George Street,THEFT UNDER $5000.00,A report of a theft of scooter.
2022,6,9,BCIT - 40 St. George Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,6,8,Myhal - 55 St. George Street,MEDICAL,A report of a medical. No further action required.
2022,6,8,Robarts - 130 St. George Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,6,8,Wallberg - 184 College Street,UNWANTED PERSON,A report of a non-community member. Left when directed.
2022,6,8,Galbraith - 35 St. George Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,6,8,St. Basil's Church - 50 St. Joseph Street,UNWANTED PERSON,A report of a non-community member. Left when directed.
2022,6,8,35 Charles Street West,THEFT UNDER $5000.00,A report of a theft of bicycle.
2022,6,7,Rotman - 107 St. George Street,TRESPASS TO PROPERTY ACT,A report of skateboarders. Left when directed.
2022,6,7,Rosebrugh - 164 College Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,6,7,Warren Stevens - 55 Harbord Street,THEFT OVER $5000.00,A report of a theft of belongings from a locker.
2022,6,7,89 Chestnut Street,THEFT UNDER $5000.00,A report of a theft of scooter.
2022,6,6,Wallberg - 184 College Street,SUSPICIOUS PERSON,A report of a suspicious person. Gone prior to officer arrival.
2022,6,6,124 Edward Street,HARASSMENT,A report of harassment.
2022,6,6,500 University Avenue,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,6,6,Sidney Smith - 100 St. George Street,PERSON WELL-BEING CHECK,A request for a wellbeing check. Individual able to care for themselves.
2022,6,6,Hart House - 7 Hart House Circle,UNWANTED PERSON,A report of a non-community member. Left when directed.
2022,6,6,Grad House - 60 Harbord Street,TRESPASS TO PROPERTY ACT,A report of skateboarders. Left when directed.
2022,6,6,No Address,FRAUD,A report of a fraud. Ongoing investigation.
2022,6,6,Galbraith - 35 St. George Street,TRESPASS TO PROPERTY ACT,A report of skateboarders. Left when directed.
2022,6,5,30 Charles Street West,NOISE COMPLAINT,A report of a noise complaint. Individuals turned down music.
2022,6,5,30 Charles Street West,MISCHIEF UNDER $5000.00,A report of damage to property.
2022,6,4,30 Charles Street West,UNWANTED PERSON,A report of a non-community member. Left when directed.
